"Step","scintillating-cake-62 - accuracy","scintillating-cake-62 - accuracy__MIN","scintillating-cake-62 - accuracy__MAX"
"0","0.9845224618911743","0.9845224618911743","0.9845224618911743"
"1","0.9855988621711731","0.9855988621711731","0.9855988621711731"
"2","0.9855962991714478","0.9855962991714478","0.9855962991714478"
"3","0.985756516456604","0.985756516456604","0.985756516456604"
"4","0.9861289858818054","0.9861289858818054","0.9861289858818054"
"5","0.9864130020141602","0.9864130020141602","0.9864130020141602"
"6","0.986766517162323","0.986766517162323","0.986766517162323"
"7","0.9870003461837769","0.9870003461837769","0.9870003461837769"
"8","0.9871373176574707","0.9871373176574707","0.9871373176574707"
"9","0.9873141050338745","0.9873141050338745","0.9873141050338745"
"10","0.9873696565628052","0.9873696565628052","0.9873696565628052"
"11","0.9875343441963196","0.9875343441963196","0.9875343441963196"
"12","0.987491250038147","0.987491250038147","0.987491250038147"
"13","0.9877327680587769","0.9877327680587769","0.9877327680587769"
"14","0.9876938462257385","0.9876938462257385","0.9876938462257385"
"15","0.9878327250480652","0.9878327250480652","0.9878327250480652"
"16","0.987860918045044","0.987860918045044","0.987860918045044"
"17","0.9879427552223206","0.9879427552223206","0.9879427552223206"
"18","0.9880807995796204","0.9880807995796204","0.9880807995796204"
"19","0.9881047010421753","0.9881047010421753","0.9881047010421753"
"20","0.9882170557975769","0.9882170557975769","0.9882170557975769"
"21","0.9882078766822815","0.9882078766822815","0.9882078766822815"
"22","0.9882837533950806","0.9882837533950806","0.9882837533950806"
"23","0.988481342792511","0.988481342792511","0.988481342792511"
"24","0.9885439276695251","0.9885439276695251","0.9885439276695251"
"25","0.9884749054908752","0.9884749054908752","0.9884749054908752"
"26","0.9886294007301331","0.9886294007301331","0.9886294007301331"
"27","0.9886704087257385","0.9886704087257385","0.9886704087257385"
"28","0.98881995677948","0.98881995677948","0.98881995677948"
"29","0.9889549612998962","0.9889549612998962","0.9889549612998962"
"30","0.9889952540397644","0.9889952540397644","0.9889952540397644"
"31","0.9891361594200134","0.9891361594200134","0.9891361594200134"
"32","0.9892396330833435","0.9892396330833435","0.9892396330833435"
"33","0.9893026947975159","0.9893026947975159","0.9893026947975159"
"34","0.9894436001777649","0.9894436001777649","0.9894436001777649"
"35","0.9895468354225159","0.9895468354225159","0.9895468354225159"
"36","0.9896615147590637","0.9896615147590637","0.9896615147590637"
"37","0.9897244572639465","0.9897244572639465","0.9897244572639465"
"38","0.9898676872253418","0.9898676872253418","0.9898676872253418"
"39","0.9900442957878113","0.9900442957878113","0.9900442957878113"
"40","0.9900256395339966","0.9900256395339966","0.9900256395339966"
"41","0.9901955723762512","0.9901955723762512","0.9901955723762512"
"42","0.9904235005378723","0.9904235005378723","0.9904235005378723"
"43","0.9904098510742188","0.9904098510742188","0.9904098510742188"
"44","0.9905787110328674","0.9905787110328674","0.9905787110328674"
"45","0.990723729133606","0.990723729133606","0.990723729133606"
"46","0.9908384680747986","0.9908384680747986","0.9908384680747986"
"47","0.9909546375274658","0.9909546375274658","0.9909546375274658"
"48","0.9909846186637878","0.9909846186637878","0.9909846186637878"
"49","0.9911479353904724","0.9911479353904724","0.9911479353904724"
"50","0.9912230968475342","0.9912230968475342","0.9912230968475342"
"51","0.9913626909255981","0.9913626909255981","0.9913626909255981"
"52","0.9914402961730957","0.9914402961730957","0.9914402961730957"
"53","0.9916238188743591","0.9916238188743591","0.9916238188743591"
"54","0.9915844202041626","0.9915844202041626","0.9915844202041626"
"55","0.99159175157547","0.99159175157547","0.99159175157547"
"56","0.991746187210083","0.991746187210083","0.991746187210083"
"57","0.9918692708015442","0.9918692708015442","0.9918692708015442"
"58","0.9918866753578186","0.9918866753578186","0.9918866753578186"
"59","0.9919646978378296","0.9919646978378296","0.9919646978378296"
"60","0.9920090436935425","0.9920090436935425","0.9920090436935425"
"61","0.9921334385871887","0.9921334385871887","0.9921334385871887"
"62","0.9922659397125244","0.9922659397125244","0.9922659397125244"
"63","0.9922137260437012","0.9922137260437012","0.9922137260437012"
"64","0.992379903793335","0.992379903793335","0.992379903793335"
"65","0.9924110174179077","0.9924110174179077","0.9924110174179077"
"66","0.9924522638320923","0.9924522638320923","0.9924522638320923"
"67","0.9924907088279724","0.9924907088279724","0.9924907088279724"
"68","0.9925270080566406","0.9925270080566406","0.9925270080566406"
"69","0.992628276348114","0.992628276348114","0.992628276348114"
"70","0.9926160573959351","0.9926160573959351","0.9926160573959351"
"71","0.9927930235862732","0.9927930235862732","0.9927930235862732"
"72","0.9927918910980225","0.9927918910980225","0.9927918910980225"
"73","0.992810845375061","0.992810845375061","0.992810845375061"
"74","0.9928786158561707","0.9928786158561707","0.9928786158561707"
"75","0.9929404258728027","0.9929404258728027","0.9929404258728027"
"76","0.9929829835891724","0.9929829835891724","0.9929829835891724"
"77","0.9930739402770996","0.9930739402770996","0.9930739402770996"
"78","0.9930608868598938","0.9930608868598938","0.9930608868598938"
"79","0.9931110143661499","0.9931110143661499","0.9931110143661499"
"80","0.9931456446647644","0.9931456446647644","0.9931456446647644"
"81","0.9932171106338501","0.9932171106338501","0.9932171106338501"
"82","0.9931117296218872","0.9931117296218872","0.9931117296218872"
"83","0.9932502508163452","0.9932502508163452","0.9932502508163452"
"84","0.9933061003684998","0.9933061003684998","0.9933061003684998"
"85","0.9932534098625183","0.9932534098625183","0.9932534098625183"
"86","0.9933969378471375","0.9933969378471375","0.9933969378471375"
"87","0.9933740496635437","0.9933740496635437","0.9933740496635437"
"88","0.9934083819389343","0.9934083819389343","0.9934083819389343"
"89","0.9934017658233643","0.9934017658233643","0.9934017658233643"
"90","0.9934532642364502","0.9934532642364502","0.9934532642364502"
"91","0.9935835003852844","0.9935835003852844","0.9935835003852844"
"92","0.9935864210128784","0.9935864210128784","0.9935864210128784"
"93","0.9936320185661316","0.9936320185661316","0.9936320185661316"
"94","0.993674099445343","0.993674099445343","0.993674099445343"
"95","0.9936896562576294","0.9936896562576294","0.9936896562576294"
"96","0.9937014579772949","0.9937014579772949","0.9937014579772949"
"97","0.993701159954071","0.993701159954071","0.993701159954071"
"98","0.9938127398490906","0.9938127398490906","0.9938127398490906"
"99","0.9937878251075745","0.9937878251075745","0.9937878251075745"
"100","0.9938299059867859","0.9938299059867859","0.9938299059867859"
"101","0.993834376335144","0.993834376335144","0.993834376335144"
"102","0.993870198726654","0.993870198726654","0.993870198726654"
"103","0.9938737154006958","0.9938737154006958","0.9938737154006958"
"104","0.9939560294151306","0.9939560294151306","0.9939560294151306"
"105","0.9939745664596558","0.9939745664596558","0.9939745664596558"
"106","0.993973433971405","0.993973433971405","0.993973433971405"
"107","0.9940250515937805","0.9940250515937805","0.9940250515937805"
"108","0.9939712285995483","0.9939712285995483","0.9939712285995483"
"109","0.9940494298934937","0.9940494298934937","0.9940494298934937"
"110","0.9940294027328491","0.9940294027328491","0.9940294027328491"
"111","0.9941321611404419","0.9941321611404419","0.9941321611404419"
"112","0.9941391348838806","0.9941391348838806","0.9941391348838806"
"113","0.994157075881958","0.994157075881958","0.994157075881958"
"114","0.994195818901062","0.994195818901062","0.994195818901062"
"115","0.9941970705986023","0.9941970705986023","0.9941970705986023"
"116","0.9941864013671875","0.9941864013671875","0.9941864013671875"
"117","0.9942282438278198","0.9942282438278198","0.9942282438278198"
"118","0.994286835193634","0.994286835193634","0.994286835193634"
"119","0.9943671822547913","0.9943671822547913","0.9943671822547913"
"120","0.994303822517395","0.994303822517395","0.994303822517395"
"121","0.9943276643753052","0.9943276643753052","0.9943276643753052"
"122","0.9943879246711731","0.9943879246711731","0.9943879246711731"
"123","0.9943245649337769","0.9943245649337769","0.9943245649337769"
"124","0.9944074749946594","0.9944074749946594","0.9944074749946594"
"125","0.9943923354148865","0.9943923354148865","0.9943923354148865"
"126","0.9944448471069336","0.9944448471069336","0.9944448471069336"
"127","0.994436502456665","0.994436502456665","0.994436502456665"
"128","0.9944819211959839","0.9944819211959839","0.9944819211959839"
"129","0.9944910407066345","0.9944910407066345","0.9944910407066345"
"130","0.9945009350776672","0.9945009350776672","0.9945009350776672"
"131","0.9945511817932129","0.9945511817932129","0.9945511817932129"
"132","0.9945198893547058","0.9945198893547058","0.9945198893547058"
"133","0.9945575594902039","0.9945575594902039","0.9945575594902039"
"134","0.9945483803749084","0.9945483803749084","0.9945483803749084"
"135","0.9945330619812012","0.9945330619812012","0.9945330619812012"
"136","0.9945987462997437","0.9945987462997437","0.9945987462997437"
"137","0.9946048259735107","0.9946048259735107","0.9946048259735107"
"138","0.9946718215942383","0.9946718215942383","0.9946718215942383"
"139","0.9947065711021423","0.9947065711021423","0.9947065711021423"
"140","0.9946846961975098","0.9946846961975098","0.9946846961975098"
"141","0.9947338700294495","0.9947338700294495","0.9947338700294495"
"142","0.9946861863136292","0.9946861863136292","0.9946861863136292"
"143","0.9947211742401123","0.9947211742401123","0.9947211742401123"
"144","0.9947794079780579","0.9947794079780579","0.9947794079780579"
"145","0.9947624802589417","0.9947624802589417","0.9947624802589417"
"146","0.9947420954704285","0.9947420954704285","0.9947420954704285"
"147","0.994777500629425","0.994777500629425","0.994777500629425"
"148","0.9948009252548218","0.9948009252548218","0.9948009252548218"
"149","0.9948168992996216","0.9948168992996216","0.9948168992996216"