"Step","glowing-springroll-61 - loss","glowing-springroll-61 - loss__MIN","glowing-springroll-61 - loss__MAX"
"0","0.06289394199848175","0.06289394199848175","0.06289394199848175"
"1","0.04091578722000122","0.04091578722000122","0.04091578722000122"
"2","0.03858727589249611","0.03858727589249611","0.03858727589249611"
"3","0.03713541477918625","0.03713541477918625","0.03713541477918625"
"4","0.03610171377658844","0.03610171377658844","0.03610171377658844"
"5","0.0353616364300251","0.0353616364300251","0.0353616364300251"
"6","0.03427473083138466","0.03427473083138466","0.03427473083138466"
"7","0.03330261632800102","0.03330261632800102","0.03330261632800102"
"8","0.032442592084407806","0.032442592084407806","0.032442592084407806"
"9","0.0318547859787941","0.0318547859787941","0.0318547859787941"
"10","0.031008047983050346","0.031008047983050346","0.031008047983050346"
"11","0.03031184710562229","0.03031184710562229","0.03031184710562229"
"12","0.029791835695505142","0.029791835695505142","0.029791835695505142"
"13","0.02912551537156105","0.02912551537156105","0.02912551537156105"
"14","0.028611069545149803","0.028611069545149803","0.028611069545149803"
"15","0.027992762625217438","0.027992762625217438","0.027992762625217438"
"16","0.02721775695681572","0.02721775695681572","0.02721775695681572"
"17","0.026371020823717117","0.026371020823717117","0.026371020823717117"
"18","0.02530978061258793","0.02530978061258793","0.02530978061258793"
"19","0.023980489000678062","0.023980489000678062","0.023980489000678062"
"20","0.02289498783648014","0.02289498783648014","0.02289498783648014"
"21","0.021381951868534088","0.021381951868534088","0.021381951868534088"
"22","0.01997358538210392","0.01997358538210392","0.01997358538210392"
"23","0.018637847155332565","0.018637847155332565","0.018637847155332565"
"24","0.017443934455513954","0.017443934455513954","0.017443934455513954"
"25","0.016432197764515877","0.016432197764515877","0.016432197764515877"
"26","0.015693705528974533","0.015693705528974533","0.015693705528974533"
"27","0.015024667605757713","0.015024667605757713","0.015024667605757713"
"28","0.014142517000436783","0.014142517000436783","0.014142517000436783"
"29","0.013636794872581959","0.013636794872581959","0.013636794872581959"
"30","0.013111424632370472","0.013111424632370472","0.013111424632370472"
"31","0.01264127902686596","0.01264127902686596","0.01264127902686596"
"32","0.012233171612024307","0.012233171612024307","0.012233171612024307"
"33","0.011804625391960144","0.011804625391960144","0.011804625391960144"
"34","0.011226292699575424","0.011226292699575424","0.011226292699575424"
"35","0.010818395763635635","0.010818395763635635","0.010818395763635635"
"36","0.010571951046586037","0.010571951046586037","0.010571951046586037"
"37","0.010301250033080578","0.010301250033080578","0.010301250033080578"
"38","0.00996716134250164","0.00996716134250164","0.00996716134250164"
"39","0.009755832143127918","0.009755832143127918","0.009755832143127918"
"40","0.009449386969208717","0.009449386969208717","0.009449386969208717"
"41","0.009182588197290897","0.009182588197290897","0.009182588197290897"
"42","0.009058462455868721","0.009058462455868721","0.009058462455868721"
"43","0.008821532130241394","0.008821532130241394","0.008821532130241394"
"44","0.008593540638685226","0.008593540638685226","0.008593540638685226"
"45","0.00845043919980526","0.00845043919980526","0.00845043919980526"
"46","0.008100312203168869","0.008100312203168869","0.008100312203168869"
"47","0.007934494875371456","0.007934494875371456","0.007934494875371456"
"48","0.007856028154492378","0.007856028154492378","0.007856028154492378"
"49","0.007667834404855967","0.007667834404855967","0.007667834404855967"
"50","0.007577465381473303","0.007577465381473303","0.007577465381473303"
"51","0.0073687611147761345","0.0073687611147761345","0.0073687611147761345"
"52","0.007228211034089327","0.007228211034089327","0.007228211034089327"
"53","0.007113391533493996","0.007113391533493996","0.007113391533493996"
"54","0.007024405989795923","0.007024405989795923","0.007024405989795923"
"55","0.006893323268741369","0.006893323268741369","0.006893323268741369"
"56","0.006810130085796118","0.006810130085796118","0.006810130085796118"
"57","0.006627871189266443","0.006627871189266443","0.006627871189266443"
"58","0.006549471989274025","0.006549471989274025","0.006549471989274025"
"59","0.006434111390262842","0.006434111390262842","0.006434111390262842"
"60","0.006293023470789194","0.006293023470789194","0.006293023470789194"
"61","0.0063570537604391575","0.0063570537604391575","0.0063570537604391575"
"62","0.006165425758808851","0.006165425758808851","0.006165425758808851"
"63","0.0060267881490290165","0.0060267881490290165","0.0060267881490290165"
"64","0.005941268056631088","0.005941268056631088","0.005941268056631088"
"65","0.005853294860571623","0.005853294860571623","0.005853294860571623"
"66","0.0057455552741885185","0.0057455552741885185","0.0057455552741885185"
"67","0.005852406844496727","0.005852406844496727","0.005852406844496727"
"68","0.005640658084303141","0.005640658084303141","0.005640658084303141"
"69","0.005546977743506432","0.005546977743506432","0.005546977743506432"
"70","0.005464150570333004","0.005464150570333004","0.005464150570333004"
"71","0.005408909637480974","0.005408909637480974","0.005408909637480974"
"72","0.005321461241692305","0.005321461241692305","0.005321461241692305"
"73","0.005291824694722891","0.005291824694722891","0.005291824694722891"
"74","0.005265846848487854","0.005265846848487854","0.005265846848487854"
"75","0.00517225218936801","0.00517225218936801","0.00517225218936801"
"76","0.005082862917333841","0.005082862917333841","0.005082862917333841"
"77","0.005028107203543186","0.005028107203543186","0.005028107203543186"
"78","0.004949807655066252","0.004949807655066252","0.004949807655066252"
"79","0.0049179005436599255","0.0049179005436599255","0.0049179005436599255"
"80","0.004873152822256088","0.004873152822256088","0.004873152822256088"
"81","0.004816541448235512","0.004816541448235512","0.004816541448235512"
"82","0.004766945261508226","0.004766945261508226","0.004766945261508226"
"83","0.004747510422021151","0.004747510422021151","0.004747510422021151"
"84","0.004728288389742374","0.004728288389742374","0.004728288389742374"
"85","0.004629571456462145","0.004629571456462145","0.004629571456462145"
"86","0.004547860939055681","0.004547860939055681","0.004547860939055681"
"87","0.004498968366533518","0.004498968366533518","0.004498968366533518"
"88","0.004439187236130238","0.004439187236130238","0.004439187236130238"
"89","0.0044033462181687355","0.0044033462181687355","0.0044033462181687355"
"90","0.004381685983389616","0.004381685983389616","0.004381685983389616"
"91","0.004344485700130463","0.004344485700130463","0.004344485700130463"
"92","0.00433592451736331","0.00433592451736331","0.00433592451736331"
"93","0.004280604422092438","0.004280604422092438","0.004280604422092438"
"94","0.00424253148958087","0.00424253148958087","0.00424253148958087"
"95","0.004168619401752949","0.004168619401752949","0.004168619401752949"
"96","0.004146965220570564","0.004146965220570564","0.004146965220570564"
"97","0.004108436405658722","0.004108436405658722","0.004108436405658722"
"98","0.004064291249960661","0.004064291249960661","0.004064291249960661"
"99","0.004073717165738344","0.004073717165738344","0.004073717165738344"
"100","0.0040045264177024364","0.0040045264177024364","0.0040045264177024364"
"101","0.003951880149543285","0.003951880149543285","0.003951880149543285"
"102","0.003981901332736015","0.003981901332736015","0.003981901332736015"
"103","0.003923829644918442","0.003923829644918442","0.003923829644918442"
"104","0.003845842322334647","0.003845842322334647","0.003845842322334647"
"105","0.0038236482068896294","0.0038236482068896294","0.0038236482068896294"
"106","0.003818804631009698","0.003818804631009698","0.003818804631009698"
"107","0.0037707334849983454","0.0037707334849983454","0.0037707334849983454"
"108","0.0037259666714817286","0.0037259666714817286","0.0037259666714817286"
"109","0.0037177575286477804","0.0037177575286477804","0.0037177575286477804"
"110","0.0036928842309862375","0.0036928842309862375","0.0036928842309862375"
"111","0.0037012032698839903","0.0037012032698839903","0.0037012032698839903"
"112","0.0036177278961986303","0.0036177278961986303","0.0036177278961986303"
"113","0.0035712323151528835","0.0035712323151528835","0.0035712323151528835"
"114","0.003549221670255065","0.003549221670255065","0.003549221670255065"
"115","0.003534632036462426","0.003534632036462426","0.003534632036462426"
"116","0.003543340601027012","0.003543340601027012","0.003543340601027012"
"117","0.0035130437463521957","0.0035130437463521957","0.0035130437463521957"
"118","0.00345984916202724","0.00345984916202724","0.00345984916202724"
"119","0.003443249734118581","0.003443249734118581","0.003443249734118581"
"120","0.003404941176995635","0.003404941176995635","0.003404941176995635"
"121","0.0033892656210809946","0.0033892656210809946","0.0033892656210809946"
"122","0.0033824641723185778","0.0033824641723185778","0.0033824641723185778"
"123","0.0033608523663133383","0.0033608523663133383","0.0033608523663133383"
"124","0.003950169775635004","0.003950169775635004","0.003950169775635004"
"125","0.0035862254444509745","0.0035862254444509745","0.0035862254444509745"
"126","0.003301304765045643","0.003301304765045643","0.003301304765045643"
"127","0.0032314693089574575","0.0032314693089574575","0.0032314693089574575"
"128","0.0031750521156936884","0.0031750521156936884","0.0031750521156936884"
"129","0.0031909553799778223","0.0031909553799778223","0.0031909553799778223"
"130","0.003195596858859062","0.003195596858859062","0.003195596858859062"
"131","0.003187181893736124","0.003187181893736124","0.003187181893736124"
"132","0.0031565572135150433","0.0031565572135150433","0.0031565572135150433"
"133","0.003162164008244872","0.003162164008244872","0.003162164008244872"
"134","0.003114624647423625","0.003114624647423625","0.003114624647423625"
"135","0.003112910781055689","0.003112910781055689","0.003112910781055689"
"136","0.0031096257735043764","0.0031096257735043764","0.0031096257735043764"
"137","0.0030745454132556915","0.0030745454132556915","0.0030745454132556915"
"138","0.003082053968682885","0.003082053968682885","0.003082053968682885"
"139","0.0030369958840310574","0.0030369958840310574","0.0030369958840310574"
"140","0.003050675615668297","0.003050675615668297","0.003050675615668297"
"141","0.003252178430557251","0.003252178430557251","0.003252178430557251"
"142","0.0031155673786997795","0.0031155673786997795","0.0031155673786997795"
"143","0.0029729160014539957","0.0029729160014539957","0.0029729160014539957"
"144","0.0029149572364985943","0.0029149572364985943","0.0029149572364985943"
"145","0.002894646255299449","0.002894646255299449","0.002894646255299449"
"146","0.0028904518112540245","0.0028904518112540245","0.0028904518112540245"
"147","0.002878702711313963","0.002878702711313963","0.002878702711313963"
"148","0.0028683363925665617","0.0028683363925665617","0.0028683363925665617"
"149","0.0029104468412697315","0.0029104468412697315","0.0029104468412697315"